# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS conferences and scholarships	[Google Conference Scholarships](https://buildyourfuture.withgoogle.com/scholarships/google-conference-scholarships)	Name=[Google Conference Scholarships](https://buildyourfuture.withgoogle.com/scholarships/google-conference-scholarships); Description=While all qualified industry professionals and students are able to apply, we’ve designed our North American program to expose career opportunities to those who identify as historically excluded in tech. This includes those who identify as Women, Black/African American/Caribbean/WestIndies, Hispanic/Latinx, and Native American/First Nations.; Approximate Deadline=June
CS conferences and scholarships	[Grace Hopper Scholarship](https://ghc.anitab.org)	Name=[Grace Hopper Scholarship](https://ghc.anitab.org); Description=The GHC Scholars Program provides funds for women who are either undergraduate students, graduate students, or faculty to attend our Celebration. Women who get selected as scholars gain access to career and academic workshops, networking opportunities, and memories that will last a lifetime.; Approximate Deadline=March
CS conferences and scholarships	[Greylock Techfair](https://greylock.com/university-programs/)	Name=[Greylock Techfair](https://greylock.com/university-programs/); Description=Techfair is not an ordinary career fair. Rather, it’s your opportunity to connect with engineers, product leaders, and designers at the fastest-growing startups in Silicon Valley. Students have the opportunity to ask questions directly to potential teammates and learn about what makes each company unique. Techfair helps you create career connections, regardless of whether you’re looking for internships or full-time opportunities. Startup, invite only.; Approximate Deadline=Summer
CS conferences and scholarships	[RTC Career Summit](https://rewritingthecode.org/rtc-career-summit/)	Name=[RTC Career Summit](https://rewritingthecode.org/rtc-career-summit/); Description=As part of our community you will have access to hear directly from companies about their open roles through virtual events and booths, all for a nominal fee ($15 or essay).; Approximate Deadline=August
CS conferences and scholarships	[SHPE National Converntion](https://shpe.org/engage/events/national-convention/)	Name=[SHPE National Converntion](https://shpe.org/engage/events/national-convention/); Description=SHPE National Convention serves as the country’s largest, annual gathering of Hispanic STEM students and professionals.; Approximate Deadline=Spring
CS conferences and scholarships	[Tapia Conference Scholarship](http://tapiaconference.org)	Name=[Tapia Conference Scholarship](http://tapiaconference.org); Description=The Tapia Conference provides conference travel scholarships for students (community college/undergraduate/graduate), and post-docs at colleges/universities in the U.S and U.S. Scholarships include conference registration, meals during the conference, hotel accommodations, and a reimbursable travel stipend.; Approximate Deadline=March
CS conferences and scholarships	[YC AI Startup School](https://events.ycombinator.com/startup-school-2026)	Name=[YC AI Startup School](https://events.ycombinator.com/startup-school-2026); Description=This conference is for technical builders. We're looking for undergraduate & graduate students in CS / related technical fields, software & ML engineers working in industry, and anyone who can demonstrate top technical skills in open source repos, projects you’ve built, papers you’ve published, etc. Comes with a travel credit.; Approximate Deadline=Early in the year
CS exploratory programs	Target Diversity Leadership Symposium	Name=Target Diversity Leadership Symposium; Description=Target is hosting an intensive 3-day leadership symposium for up to 40 sophomores at Target Headquarters. The symposium will focus on diversity and inclusion, development, the retail industry, and internship opportunities at Target.; Approximate Deadline=May
CS exploratory programs	[Capital One’s Tech Summit](https://www.capitalonecareers.com/get-ahead-with-early-career-programs-for-students)	Name=[Capital One’s Tech Summit](https://www.capitalonecareers.com/get-ahead-with-early-career-programs-for-students); Description=During this five-day event, you’ll participate in workshops on topics like web development, machine learning and hardware—all important skills to have for your application to the Technology Internship Program( opens in new window) or Technology Development Program. The summit culminates with a hackathon and project demos to Capital One leaders.; Approximate Deadline=Invitation only (ask a recruiter)
CS exploratory programs	[DE Shaw Fellowships](https://fellowships.deshaw.com)	Name=[DE Shaw Fellowships](https://fellowships.deshaw.com); Description=Over the course of three days, fellows participate in a set of unique educational opportunities designed to bring together talented and intellectually curious students and provide them with exposure to what we do at the firm through interactive case studies, seminars led by visiting professors, and sessions with the firm’s own analysts. You get a stipend of $1500.; Approximate Deadline=Depends on the fellowship
CS exploratory programs	[Discover Citadel](https://www.citadel.com/careers/programs-and-events/discover-citadel/)	Name=[Discover Citadel](https://www.citadel.com/careers/programs-and-events/discover-citadel/); Description=Discover Citadel and Citadel Securities is a two-day event that will allow you to Discover Citadel, a leading investor in the world’s financial markets, and Citadel Securities, a leading global market maker – and explore Chicago! Must be a first-year or second-year to apply; Approximate Deadline=December
