# sections
Fall 2026 (34 employer-stated)
Recently posted — cycle not stated (178 roles)
Summer 2027 (300 employer-stated)
# rows
Fall 2026 (34 employer-stated)	Phoebe / Software Engineering Intern @ New York City	Company=Phoebe; Role=Software Engineering Intern; Category=Software; Location=New York City; Skills=Python, TypeScript, LLMs, React; Posted=Aug 20, 2026; Apply=[Apply](https://jobs.ashbyhq.com/phoebe-work/1ffe3e63-2163-447e-a8b0-1fff8b87e0ca)
Fall 2026 (34 employer-stated)	Red Bull / 2026 Internship, Fall - Data Science @ Morristown, NJ, United States	Company=Red Bull; Role=2026 Internship, Fall - Data Science; Category=Data & ML/AI; Location=Morristown, NJ, United States; Skills=SQL; Posted=Jul 22, 2026; Apply=[Apply](https://jobs.smartrecruiters.com/RedBull/744000139168339)
Fall 2026 (34 employer-stated)	Rivet Industries / Software Engineer Intern, XR Team (Fall 2026) @ Bellevue, WA	Company=Rivet Industries; Role=Software Engineer Intern, XR Team (Fall 2026); Category=Software; Location=Bellevue, WA; Skills=No skills listed; Posted=Aug 24, 2026; Apply=[Apply](https://jobs.ashbyhq.com/rivet/4e02461a-9f6c-4d3c-a511-6d54f31999bc)
Fall 2026 (34 employer-stated)	SoloPulse / Software Engineer Intern/Co-Op - Fall 2026 @ Peachtree Corners, GA	Company=SoloPulse; Role=Software Engineer Intern/Co-Op - Fall 2026; Category=Software; Location=Peachtree Corners, GA; Skills=Python, C++, PyTorch, CUDA; Posted=Jun 16, 2026; Apply=[Apply](https://jobs.lever.co/solopulseco/00fbde18-a387-4c9f-97d4-77059aec7b56)
Fall 2026 (34 employer-stated)	Stantec / Roadway Design Co-op Student - Infrastructure (Fall 2026) @ Raleigh, NC, United States	Company=Stantec; Role=Roadway Design Co-op Student - Infrastructure (Fall 2026); Category=Software; Location=Raleigh, NC, United States; Skills=No skills listed; Posted=Sep 02, 2026; Apply=[Apply](https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1007497)
Fall 2026 (34 employer-stated)	The Nuclear Company / Fall 2026 AI/ML Engineering Intern 🇺🇸 @ Washington, DC	Company=The Nuclear Company; Role=Fall 2026 AI/ML Engineering Intern 🇺🇸; Category=Data & ML/AI; Location=Washington, DC; Skills=Python, PyTorch, LLMs, AWS; Posted=Aug 07, 2026; Apply=[Apply](https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383163008)
Fall 2026 (34 employer-stated)	Warner Bros. / Bleacher Report Social Programming Intern: LA - Fall 2026 @ CA Burbank Bldg. 700 +2 more	Company=Warner Bros.; Role=Bleacher Report Social Programming Intern: LA - Fall 2026; Category=Software; Location=CA Burbank Bldg. 700 +2 more; Skills=No skills listed; Posted=Aug 06, 2026; Apply=[Apply](https://warnerbros.wd5.myworkdayjobs.com/global/job/CA-Burbank-Bldg-700-Second-Century-Tower-1/Bleacher-Report-Social-Programming-Intern--LA---Fall-2026_R000107469)
Fall 2026 (34 employer-stated)	onsemi / Fall 2026 - AI & Data Analytics Intern @ Scottsdale, AZ, United States	Company=onsemi; Role=Fall 2026 - AI & Data Analytics Intern; Category=Data & ML/AI; Location=Scottsdale, AZ, United States; Skills=Python, SQL, LLMs, Tableau; Posted=Jul 15, 2026; Apply=[Apply](https://hctz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/2505878)
Fall 2026 (34 employer-stated)	onsemi / Fall 2026 - Tax AI and Automation Intern @ Scottsdale, AZ, United States	Company=onsemi; Role=Fall 2026 - Tax AI and Automation Intern; Category=Data & ML/AI; Location=Scottsdale, AZ, United States; Skills=No skills listed; Posted=Aug 14, 2026; Apply=[Apply](https://hctz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/2506307)
Recently posted — cycle not stated (178 roles)	Airbus / Summer Internship - Digital/AI Transformation @ Herndon Area, VA	Company=Airbus; Role=Summer Internship - Digital/AI Transformation; Category=Data & ML/AI; Location=Herndon Area, VA; Skills=No skills listed; Posted=Sep 09, 2026; Apply=[Apply](https://ag.wd3.myworkdayjobs.com/Airbus/job/Herndon-Area-VA/Summer-Internship---Digital-AI-Transformation_JR10437881)
